,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,GBM_grid_1_AutoML_20190419_013027_model_7,0.017941340304831115,0.13394528847567247,0.017941340304831115,0.0895505473882274,0.010398991782828082
1,XGBoost_3_AutoML_20190419_005900,0.018238292859880496,0.1350492238403483,0.018238292859880496,0.09093448495211666,0.010451064129840044
2,XGBoost_grid_1_AutoML_20190419_005900_model_12,0.01826980294290604,0.1351658349691446,0.01826980294290604,0.0902216663099315,0.010491317227293332
3,XGBoost_grid_1_AutoML_20190419_005900_model_14,0.01827818319001729,0.13519683128689552,0.01827818319001729,0.09128910352105964,0.010468808966484666
4,XGBoost_grid_1_AutoML_20190419_013027_model_13,0.018329197728392758,0.13538536748257826,0.018329197728392758,0.09203867520371528,0.010500148412633524
5,XGBoost_grid_1_AutoML_20190419_005900_model_4,0.018339574858666857,0.13542368647569322,0.018339574858666857,0.09102050049664223,0.010512868880181173
6,XGBoost_3_AutoML_20190419_003540,0.018342147175194255,0.135433183434468,0.018342147175194255,0.09144624749275104,0.010493807225618651
7,StackedEnsemble_BestOfFamily_AutoML_20190419_003540,0.018348973743932687,0.13545838380821132,0.018348973743932687,0.08844174828608939,0.010466870977259951
8,GBM_grid_1_AutoML_20190419_013027_model_10,0.01836445161455948,0.13551550322586514,0.01836445161455948,0.09035011551449648,0.010504193583225834
9,XGBoost_3_AutoML_20190419_013027,0.01839054946576092,0.1356117600570132,0.01839054946576092,0.09160106018797992,0.010499710601496659
10,StackedEnsemble_AllModels_AutoML_20190419_003540,0.01845566902356367,0.1358516434334295,0.01845566902356367,0.08862966544037043,0.010498001559204495
11,XGBoost_grid_1_AutoML_20190419_003540_model_6,0.01852772016404369,0.13611656829366398,0.01852772016404369,0.09157614316025824,0.010568408902526609
12,XGBoost_grid_1_AutoML_20190419_005900_model_13,0.018561251784654963,0.1362396850578236,0.018561251784654963,0.09282079918743813,0.01055163629138956
13,XGBoost_grid_1_AutoML_20190419_003540_model_8,0.018588704334759516,0.13634039876265402,0.018588704334759516,0.09328021415292401,0.01056243280285978
14,XGBoost_grid_1_AutoML_20190419_003540_model_3,0.01859885630888192,0.1363776239303278,0.01859885630888192,0.0909813893984442,0.010575267343276093
15,XGBoost_grid_1_AutoML_20190419_005900_model_11,0.01862146353032461,0.13646048340206265,0.01862146353032461,0.0929163397174992,0.010575927195435077
16,XGBoost_grid_1_AutoML_20190419_005900_model_7,0.01864736751017953,0.13655536426731665,0.01864736751017953,0.09253010423216099,0.010582873915854187
17,XGBoost_2_AutoML_20190419_005900,0.018682092602288418,0.13668245169841087,0.018682092602288418,0.09280919767405887,0.010570610564096502
18,XGBoost_2_AutoML_20190419_003540,0.01876556808954849,0.13698747420676274,0.01876556808954849,0.09254827760670284,0.010597653725579404
19,XGBoost_grid_1_AutoML_20190419_003540_model_2,0.018814706041890436,0.1371667089416759,0.018814706041890436,0.0908789484468225,0.010613649442271273
20,XGBoost_grid_1_AutoML_20190419_013027_model_17,0.018879229244836617,0.13740170757613102,0.018879229244836617,0.09169670131108533,0.010647201354081356
21,GBM_grid_1_AutoML_20190419_005900_model_5,0.019038051108178987,0.13797844436062826,0.019038051108178987,0.09220661620010012,0.010686861619519749
22,XGBoost_2_AutoML_20190419_013027,0.019044804210648497,0.13800291377593624,0.019044804210648497,0.09297465690194744,0.010668486167715627
23,XGBoost_grid_1_AutoML_20190419_013027_model_8,0.019049349236400632,0.13801937993050334,0.019049349236400632,0.09111166326967003,0.010680413386855806
24,XGBoost_grid_1_AutoML_20190419_013027_model_16,0.01905875035237891,0.13805343296122305,0.01905875035237891,0.09154390178314628,0.010687271940881234
25,GBM_grid_1_AutoML_20190419_003540_model_2,0.01907595876922374,0.1381157441033561,0.01907595876922374,0.09169875834311617,0.010699698156403351
26,GBM_grid_1_AutoML_20190419_013027_model_9,0.01909054325359209,0.13816853206715374,0.01909054325359209,0.0915041970551202,0.010707417064173191
27,GBM_3_AutoML_20190419_005900,0.01911627475444608,0.1382616170686792,0.01911627475444608,0.09276461748100692,0.010712209371913051
28,XGBoost_grid_1_AutoML_20190419_013027_model_10,0.01915408353016536,0.13839827863873655,0.01915408353016536,0.09036079302226027,0.01069069247319845
29,GBM_3_AutoML_20190419_003540,0.01916005356583563,0.13841984527456905,0.01916005356583563,0.09296184609991696,0.010713874413769049
30,XGBoost_1_AutoML_20190419_005900,0.019175387880572808,0.1384752247897537,0.019175387880572808,0.09188845059643053,0.010708683773254698
31,XGBoost_1_AutoML_20190419_013027,0.019226921357676476,0.13866117465850514,0.019226921357676476,0.09171128207690096,0.010717933220202655
32,XGBoost_grid_1_AutoML_20190419_013027_model_6,0.019316134187411453,0.1389824959748941,0.019316134187411453,0.09186528545536407,0.010728292539946482
33,XGBoost_grid_1_AutoML_20190419_005900_model_1,0.019387969442513704,0.1392406888898274,0.019387969442513704,0.09179676526213346,0.010754535062847816
34,GBM_grid_1_AutoML_20190419_013027_model_1,0.019398533704440515,0.13927861897807758,0.019398533704440515,0.09119257169219418,0.010781849928082487
35,GBM_4_AutoML_20190419_013027,0.019403318411330337,0.13929579466491562,0.019403318411330337,0.09307981607396293,0.0107885996667276
36,GBM_2_AutoML_20190419_003540,0.019412336143243312,0.13932815990761993,0.019412336143243312,0.09272314770277687,0.010793283148191684
37,GBM_2_AutoML_20190419_005900,0.01947031704212303,0.13953607792296238,0.01947031704212303,0.0924723663093872,0.010807212584675568
38,GBM_3_AutoML_20190419_013027,0.019561402491386208,0.13986208382326573,0.019561402491386208,0.0935295582195332,0.01082145291954333
