,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance
0,,2019-04-09 11:34:19,20.219 sec,0.0,,,
1,,2019-04-09 11:34:19,20.530 sec,1.0,0.21353722252085158,0.15016641215824775,0.045598145401919685
2,,2019-04-09 11:34:20,20.729 sec,2.0,0.215918743080884,0.14979361607816669,0.04662090361362879
3,,2019-04-09 11:34:20,20.910 sec,3.0,0.19941493581103303,0.14014718536191156,0.039766316624518426
4,,2019-04-09 11:34:20,21.066 sec,4.0,0.19897467587418102,0.13861075590175637,0.039590921639235395
5,,2019-04-09 11:34:20,21.219 sec,5.0,0.18959561168187772,0.13309705536907482,0.03594649596902537
6,,2019-04-09 11:34:20,21.367 sec,6.0,0.18729973776758316,0.13155611680550178,0.035081191767805414
7,,2019-04-09 11:34:20,21.579 sec,7.0,0.18111394127796535,0.12821528275075228,0.03280225972523828
8,,2019-04-09 11:34:21,21.766 sec,8.0,0.1746810738444118,0.12302287711760397,0.030513477559436848
9,,2019-04-09 11:34:21,21.922 sec,9.0,0.16964198019143242,0.1194988686912722,0.028778401443270346
10,,2019-04-09 11:34:21,22.079 sec,10.0,0.1655271008845689,0.11615656722768522,0.027399221127250253
11,,2019-04-09 11:34:21,22.241 sec,11.0,0.16473641578374312,0.11487616319817756,0.02713808668527429
12,,2019-04-09 11:34:21,22.448 sec,12.0,0.16096740467175322,0.11218694624317763,0.025910505366759963
13,,2019-04-09 11:34:21,22.598 sec,13.0,0.15881549005288395,0.110403913242925,0.025222359880737677
14,,2019-04-09 11:34:22,22.742 sec,14.0,0.15755315892909777,0.10978388358328427,0.024822997888537538
15,,2019-04-09 11:34:22,22.932 sec,15.0,0.15623964672604476,0.10936664139498838,0.024410827209079267
16,,2019-04-09 11:34:22,23.124 sec,16.0,0.15565236371381352,0.10909360089040601,0.02422765832969729
17,,2019-04-09 11:34:22,23.279 sec,17.0,0.15519345944632915,0.10828050249639083,0.024085009854919407
18,,2019-04-09 11:34:22,23.476 sec,18.0,0.15405915503688167,0.10703538281103517,0.023734223250677946
19,,2019-04-09 11:34:23,23.707 sec,19.0,0.15335096264405246,0.10636243200691962,0.02351651774385757
20,,2019-04-09 11:34:23,23.859 sec,20.0,0.1523126111144205,0.10560458418655826,0.02319913150449269
21,,2019-04-09 11:34:23,24.016 sec,21.0,0.1519289455613358,0.10496156684640771,0.023082404499379334
22,,2019-04-09 11:34:23,24.262 sec,22.0,0.15116032184120679,0.10448028710612509,0.022849442899137217
