,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance
0,,2019-04-09 11:40:51,39.530 sec,0.0,0.39931245601620213,0.30980975491774426,0.15945043752969137
1,,2019-04-09 11:40:53,40.904 sec,5.0,0.2633215325118198,0.1983949014585312,0.06933822948437335
2,,2019-04-09 11:40:58,46.132 sec,10.0,0.18279843938312235,0.13347957624148016,0.03341526944090506
3,,2019-04-09 11:41:03,51.457 sec,15.0,0.13726445585383384,0.09698325379254066,0.018841530840849097
4,,2019-04-09 11:41:09,56.728 sec,20.0,0.11187857239980377,0.07669461785930477,0.012516814962218134
5,,2019-04-09 11:41:13, 1 min  1.058 sec,25.0,0.09700732020082381,0.06588640604933647,0.009410420172545158
6,,2019-04-09 11:41:15, 1 min  2.837 sec,30.0,0.08808969329243332,0.05993383747257598,0.007759794064354973
7,,2019-04-09 11:41:16, 1 min  3.798 sec,35.0,0.08214891997584632,0.0561374063361181,0.006748445053198002
8,,2019-04-09 11:41:17, 1 min  5.082 sec,40.0,0.0781627893395781,0.053437391045975356,0.006109421637343263
9,,2019-04-09 11:41:18, 1 min  5.889 sec,45.0,0.07490433029207125,0.05149511507112686,0.005610658696503702
10,,2019-04-09 11:41:18, 1 min  6.267 sec,50.0,0.07271547710853574,0.050313528269937596,0.005287540611121984
11,,2019-04-09 11:41:18, 1 min  6.394 sec,55.0,0.07054717042602522,0.049159887392226966,0.004976903255118648
12,,2019-04-09 11:41:18, 1 min  6.512 sec,60.0,0.0695194113406681,0.04870364763965345,0.004832948553153011
