Model Name,ntrees_default,ntrees_actual,max_depth_default,max_depth_actual,min_rows_default,min_rows_actual,min_sum_hessian_in_leaf_default,min_sum_hessian_in_leaf_actual,sample_rate_default,sample_rate_actual,col_sample_rate_default,col_sample_rate_actual,col_sample_rate_per_tree_default,col_sample_rate_per_tree_actual,booster_default,booster_actual,reg_lambda_default,reg_lambda_actual,reg_alpha_default,reg_alpha_actual
XGBoost_grid_1_AutoML_20190426_115827_model_9,50,163,6,15,1.0,10.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,gbtree,gbtree,1.0,0.01,0.0,0.1
XGBoost_grid_1_AutoML_20190426_115827_model_22,50,302,6,10,1.0,20.0,100.0,100.0,1.0,0.6,1.0,0.6,1.0,0.8,gbtree,gbtree,1.0,100.0,0.0,1.0
XGBoost_grid_1_AutoML_20190426_114654_model_8,50,284,6,15,1.0,3.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,1.0,gbtree,gbtree,1.0,100.0,0.0,0.001
XGBoost_grid_1_AutoML_20190426_114654_model_10,50,292,6,10,1.0,1.0,100.0,100.0,1.0,0.6,1.0,1.0,1.0,0.9,gbtree,gbtree,1.0,100.0,0.0,0.01
XGBoost_grid_1_AutoML_20190426_115827_model_3,50,90,6,5,1.0,20.0,100.0,100.0,1.0,1.0,1.0,0.6,1.0,1.0,gbtree,dart,1.0,100.0,0.0,0.5
XGBoost_grid_1_AutoML_20190426_115827_model_13,50,89,6,20,1.0,20.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.7,gbtree,dart,1.0,10.0,0.0,0.1
XGBoost_grid_1_AutoML_20190426_115827_model_11,50,101,6,15,1.0,15.0,100.0,100.0,1.0,0.6,1.0,0.6,1.0,1.0,gbtree,dart,1.0,0.1,0.0,1.0
XGBoost_grid_1_AutoML_20190426_115827_model_5,50,100,6,10,1.0,10.0,100.0,100.0,1.0,0.6,1.0,0.8,1.0,0.7,gbtree,dart,1.0,100.0,0.0,1.0
XGBoost_grid_1_AutoML_20190426_114654_model_1,50,69,6,5,1.0,0.01,100.0,100.0,1.0,0.6,1.0,1.0,1.0,0.9,gbtree,dart,1.0,0.01,0.0,0.1
XGBoost_grid_1_AutoML_20190426_115827_model_8,50,79,6,10,1.0,1.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,gbtree,dart,1.0,0.1,0.0,0.01
XGBoost_grid_1_AutoML_20190426_115827_model_14,50,74,6,10,1.0,0.01,100.0,100.0,1.0,0.8,1.0,0.6,1.0,0.7,gbtree,dart,1.0,0.1,0.0,0.1
XGBoost_grid_1_AutoML_20190426_115827_model_21,50,87,6,5,1.0,5.0,100.0,100.0,1.0,0.6,1.0,1.0,1.0,0.7,gbtree,dart,1.0,10.0,0.0,0.001
