Model Name,histogram_type_default,histogram_type_actual,ntrees_default,ntrees_actual,max_depth_default,max_depth_actual,min_rows_default,min_rows_actual,learn_rate_default,learn_rate_actual,sample_rate_default,sample_rate_actual,col_sample_rate_default,col_sample_rate_actual,col_sample_rate_per_tree_default,col_sample_rate_per_tree_actual,min_split_improvement_default,min_split_improvement_actual
GBM_grid_1_AutoML_20190426_115827_model_4,AUTO,AUTO,50,37,5,3,10.0,5.0,0.1,0.8,1.0,0.8,1.0,0.4,1.0,0.7,1e-05,0.0001
GBM_grid_1_AutoML_20190426_114654_model_3,AUTO,AUTO,50,30,5,5,10.0,10.0,0.1,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,1e-05
GBM_grid_1_AutoML_20190426_115827_model_10,AUTO,AUTO,50,24,5,14,10.0,30.0,0.1,0.05,1.0,0.8,1.0,0.4,1.0,1.0,1e-05,1e-05
GBM_grid_1_AutoML_20190426_114654_model_14,AUTO,AUTO,50,14,5,7,10.0,5.0,0.1,0.8,1.0,0.8,1.0,0.4,1.0,0.4,1e-05,1e-05
GBM_grid_1_AutoML_20190426_114654_model_2,AUTO,AUTO,50,30,5,13,10.0,1.0,0.1,0.8,1.0,0.7,1.0,0.4,1.0,0.7,1e-05,1e-05
GBM_grid_1_AutoML_20190426_114654_model_13,AUTO,AUTO,50,87,5,11,10.0,5.0,0.1,0.01,1.0,1.0,1.0,0.4,1.0,0.4,1e-05,0.0001
GBM_grid_1_AutoML_20190426_115827_model_9,AUTO,AUTO,50,56,5,11,10.0,1.0,0.1,0.005,1.0,0.5,1.0,0.7,1.0,1.0,1e-05,1e-05
GBM_grid_1_AutoML_20190426_114654_model_15,AUTO,AUTO,50,1,5,12,10.0,10.0,0.1,0.1,1.0,0.9,1.0,1.0,1.0,1.0,1e-05,0.0001
GBM_grid_1_AutoML_20190426_114654_model_9,AUTO,AUTO,50,30,5,8,10.0,1.0,0.1,0.001,1.0,1.0,1.0,0.4,1.0,0.4,1e-05,1e-05
GBM_grid_1_AutoML_20190426_114654_model_11,AUTO,AUTO,50,30,5,3,10.0,5.0,0.1,0.001,1.0,0.8,1.0,0.4,1.0,0.4,1e-05,0.0001
GBM_grid_1_AutoML_20190426_114654_model_16,AUTO,AUTO,50,1,5,4,10.0,15.0,0.1,0.008,1.0,0.8,1.0,0.7,1.0,1.0,1e-05,1e-05
