,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,StackedEnsemble_BestOfFamily_AutoML_20190426_114654,0.01781291968548739,0.13346505042702148,0.01781291968548739,0.08692369927772714,0.010316043987272141
1,XGBoost_2_AutoML_20190426_121335,0.01794434515589909,0.1339565047166396,0.01794434515589909,0.09060009864911643,0.01037498492839417
2,StackedEnsemble_AllModels_AutoML_20190426_114654,0.01802205965843332,0.13424626497014105,0.01802205965843332,0.08728683241684425,0.010376037547023908
3,XGBoost_grid_1_AutoML_20190426_115827_model_1,0.01805077707126719,0.13435318035412186,0.01805077707126719,0.09125151960817103,0.010420989273011064
4,XGBoost_2_AutoML_20190426_114654,0.018089180336322872,0.13449602349632078,0.018089180336322872,0.09051146376622866,0.010416812717166234
5,XGBoost_grid_1_AutoML_20190426_114654_model_7,0.01817058974304442,0.13479832989708893,0.01817058974304442,0.09094186155763392,0.010453468651176669
6,XGBoost_grid_1_AutoML_20190426_114654_model_9,0.018260438130360008,0.13513118859227136,0.018260438130360008,0.09051671354738,0.01046394826255134
7,XGBoost_grid_1_AutoML_20190426_114654_model_11,0.018276039869590945,0.13518890438786368,0.018276039869590945,0.09103624592088673,0.010466528554104735
8,XGBoost_2_AutoML_20190426_115827,0.01835127322633089,0.1354668713240654,0.01835127322633089,0.09158215588086273,0.01048981759897918
9,XGBoost_grid_1_AutoML_20190426_114654_model_3,0.01843086283840035,0.13576031393010385,0.01843086283840035,0.09290295039137747,0.010525710776802684
10,XGBoost_grid_1_AutoML_20190426_114654_model_2,0.018655123755961664,0.13658376095261715,0.018655123755961664,0.09055249658349443,0.010555458336721444
11,XGBoost_1_AutoML_20190426_115827,0.018662001320306397,0.13660893572642455,0.018662001320306397,0.09050441114869837,0.010562784587853152
12,XGBoost_1_AutoML_20190426_121335,0.018679856552892626,0.13667427172987834,0.018679856552892626,0.09143763241702564,0.010566458379001656
13,XGBoost_1_AutoML_20190426_114654,0.018682280836770742,0.13668314027988507,0.018682280836770742,0.09209659458839732,0.010568922214109036
14,GBM_4_AutoML_20190426_114654,0.018760618476337917,0.13696940708179295,0.018760618476337917,0.09183416484106134,0.010619821107482516
15,XGBoost_grid_1_AutoML_20190426_115827_model_4,0.01880365334265774,0.13712641373075335,0.01880365334265774,0.09357365190166317,0.010626569154842664
16,XGBoost_grid_1_AutoML_20190426_114654_model_6,0.01895340451340429,0.13767136417354298,0.01895340451340429,0.09372390590301932,0.01066095975262243
17,XGBoost_grid_1_AutoML_20190426_115827_model_6,0.0189832731971869,0.13777979967029602,0.0189832731971869,0.09370132537737284,0.010680275883150007
18,XGBoost_grid_1_AutoML_20190426_115827_model_23,0.0190465344672634,0.13800918254689934,0.0190465344672634,0.09280974048457734,0.01067449611057572
19,XGBoost_grid_1_AutoML_20190426_115827_model_19,0.019049226644485988,0.13801893581855348,0.019049226644485988,0.09171542010895194,0.010685929812006808
20,XGBoost_grid_1_AutoML_20190426_115827_model_18,0.0191717417728466,0.13846205896507027,0.0191717417728466,0.09133373482586586,0.010710055154361442
21,XGBoost_grid_1_AutoML_20190426_115827_model_20,0.01917187899255511,0.13846255447793498,0.01917187899255511,0.09419485771492736,0.01071800836325772
22,GBM_grid_1_AutoML_20190426_114654_model_1,0.019275981262393174,0.1388379676543602,0.019275981262393174,0.09288822757592526,0.010750866421992706
23,XGBoost_grid_1_AutoML_20190426_115827_model_15,0.019283983826970715,0.13886678446255862,0.019283983826970715,0.09170835573379307,0.01076479757984723
24,XGBoost_grid_1_AutoML_20190426_114654_model_5,0.019302109908622786,0.1389320334142662,0.019302109908622786,0.09282981271613136,0.010761443495482742
25,XGBoost_grid_1_AutoML_20190426_114654_model_4,0.01933061023423699,0.139034564890307,0.01933061023423699,0.09130154831768716,0.010758806990425487
26,XGBoost_3_AutoML_20190426_114654,0.019372747512108168,0.13918601766020955,0.019372747512108168,0.09373446555986796,0.010754353000859012
27,XGBoost_3_AutoML_20190426_115827,0.01938634562600483,0.1392348577979122,0.01938634562600483,0.09333881874607032,0.010764783825300064
28,XGBoost_grid_1_AutoML_20190426_115827_model_2,0.019691923067994263,0.14032791264746391,0.019691923067994263,0.09707061558553616,0.010859051543764323
29,XGBoost_grid_1_AutoML_20190426_115827_model_16,0.01970961158365766,0.14039092414988108,0.01970961158365766,0.09217517865847234,0.01085055515863299
30,GBM_2_AutoML_20190426_114654,0.01971767982466765,0.14041965611931848,0.01971767982466765,0.09368718085144102,0.01086731807370011
31,GBM_2_AutoML_20190426_115827,0.01976536700282845,0.14058935593717062,0.01976536700282845,0.09418674072850856,0.01088710990789112
32,XGBoost_grid_1_AutoML_20190426_115827_model_12,0.019794963115905312,0.1406945738680256,0.019794963115905312,0.09641286183709967,0.01091595491079528
33,XGBoost_grid_1_AutoML_20190426_115827_model_10,0.019837456670647458,0.14084550639139132,0.019837456670647458,0.09501237216061108,0.010899760934066815
34,GBM_3_AutoML_20190426_115827,0.019890044984603818,0.1410320707662049,0.019890044984603818,0.09348630271188578,0.010914641143463048
35,GBM_1_AutoML_20190426_114654,0.019900235658281626,0.14106819506281926,0.019900235658281626,0.0924229764304462,0.01094405152000922
36,XGBoost_grid_1_AutoML_20190426_115827_model_7,0.019909031100053664,0.1410993660512111,0.019909031100053664,0.09615230560302734,0.010950928880014884
37,XGBoost_grid_1_AutoML_20190426_115827_model_17,0.019927710549881003,0.14116554306870002,0.019927710549881003,0.09434642595787572,0.010926823863039264
38,GBM_3_AutoML_20190426_114654,0.01994802536236758,0.14123747860383087,0.01994802536236758,0.0951517345673986,0.010942619885130631
